deal_id,announcement_date,acquirer_name,acquirer_cik,acquirer_sic,target_name,target_cik,target_sic,sector,disclosed_synergy_usd,synergy_type,acquirer_sga,acquirer_cogs,target_sga,target_cogs,combined_sga,combined_cogs,acquirer_revenue,target_revenue,combined_revenue,acquirer_fy,target_fy,source_quote,source_url
0001104659-16-091094,2016-01-25,TYCO INTERNATIONAL plc,833444,7380,JOHNSON CONTROLS INC,53669,2531,furniture,650000000.0,unspecified,2573000000.0,2198000000.0,-3986000000.0,30732000000.0,-1413000000.0,32930000000.0,9902000000.0,37179000000.0,47081000000.0,2015,2015,$650 million in identified synergies,https://www.sec.gov/Archives/edgar/data/53669/000110465916091094/a16-2812_1ex99d1.htm
0001193125-16-449932,2016-02-04,FORMFACTOR INC,1039399,3674,CASCADE MICROTECH INC,864559,3825,instruments,12000000.0,cost,51385000.0,191091000.0,43209000.0,65708000.0,94594000.0,256799000.0,268530000.0,136022000.0,404552000.0,2014,2014,$12 million in annualized cost synergies,https://www.sec.gov/Archives/edgar/data/864559/000119312516449932/d94488dex992.htm
0001104659-16-097926,2016-02-18,SELECT MEDICAL HOLDINGS CORP,1320414,8060,CIK 1035688,1035688,8093,healthcare_services,36000000.0,cost,85247000.0,2582340000.0,85247000.0,2582340000.0,170494000.0,5164680000.0,,,,2014,2014,$36 million of cost savings synergies,https://www.sec.gov/Archives/edgar/data/1320414/000110465916097926/a16-4799_1ex99d3.htm
0001193125-16-542959,2016-04-15,MITEL NETWORKS CORP,1170534,3663,POLYCOM INC,1010552,3661,electronics,160000000.0,unspecified,363000000.0,543800000.0,88626000.0,528472000.0,451626000.0,1072272000.0,1157700000.0,1267225000.0,2424925000.0,2015,2015,$160 million of synergies,https://www.sec.gov/Archives/edgar/data/1010552/000119312516542959/d179771d425.htm
0001193125-16-553152,2016-04-25,WESTLAKE CHEMICAL CORP,1262823,2860,AXIALL CORP/DE/,805264,2821,pharma_chemicals,200000000.0,unspecified,225364000.0,3278145000.0,299700000.0,2968900000.0,525064000.0,6247045000.0,4463336000.0,3361100000.0,7824436000.0,2015,2015,$200 million of expected synergies,https://www.sec.gov/Archives/edgar/data/805264/000119312516553152/d181571d425.htm
0001193125-16-566009,2016-04-29,Rovi Corp,1424454,6794,TIVO INC,1088825,4841,telecom,100000000.0,cost,154448000.0,102970000.0,59787000.0,196549000.0,214235000.0,299519000.0,526271000.0,489612000.0,1015883000.0,2015,2016,$100 million in annual cost synergies,https://www.sec.gov/Archives/edgar/data/1424454/000119312516566009/d189896d425.htm
0001193125-16-622604,2016-06-15,"CAVIUM, INC.",1175609,3674,QLOGIC CORP,918386,3576,industrial_machinery,45000000.0,cost,78926000.0,143767000.0,25454000.0,187464000.0,104380000.0,331231000.0,412744000.0,458913000.0,871657000.0,2015,2016,$45 million of identified annualized cost synergies,https://www.sec.gov/Archives/edgar/data/918386/000119312516622604/d213111dex991.htm
0001193125-16-658272,2016-07-26,ANALOG DEVICES INC,6281,3674,LINEAR TECHNOLOGY CORP /CA/,791907,3674,electronics,150000000.0,cost,478972000.0,1175830000.0,169952000.0,355727000.0,648924000.0,1531557000.0,3435092000.0,1475139000.0,4910231000.0,2015,2015,$150 million of annualized run-rate cost synergies,https://www.sec.gov/Archives/edgar/data/791907/000119312516658272/d215052dex991.htm
0001571049-16-017749,2016-08-25,BERRY PLASTICS GROUP INC,1378992,3089,AEP INDUSTRIES INC,785787,3081,rubber_plastics,50000000.0,cost,357000000.0,4012000000.0,32592000.0,959729000.0,389592000.0,4971729000.0,4881000000.0,1141391000.0,6022391000.0,2015,2015,$50 million of expected cost synergies,https://www.sec.gov/Archives/edgar/data/1378992/000157104916017749/t1600547_ex99-2.htm
0001193125-16-736379,2016-10-12,TESLA MOTORS INC,1318605,3711,SOLARCITY CORP,1408356,1700,construction,150000000.0,cost,922232000.0,3122522000.0,244508000.0,115245000.0,1166740000.0,3237767000.0,4046025000.0,399619000.0,4445644000.0,2015,2015,$150 million in cost synergies,https://www.sec.gov/Archives/edgar/data/1408356/000119312516736379/d231493ddefm14a.htm
